state,statename,id,ufips,name,type,local,pressure,countyleg,stateleg,localcourts,statecourts,commission,loczoning,council,cntyboard,cntyzoning,envboard,commission_norez,council_norez,cntyboard_norez,envboard_norez,publhlth_norez,dsgnrev_norez,sfulandsupply,mfulandsupply,sfuinfracost,mfuinfracost,sfudensrestr,mfudensrestr,sfuimpact,mfuimpact,sfubudget,mfubudget,sfucouncil,mfucouncil,sfucitizen,mfucitizen,sfuschool,mfuschool,sfulengthzoning,mfulengthzoning,sfulengthpermit,mfulengthpermit,sfulengthdvlp,mfulengthdvlp,sfupermitlimit,mfupermitlimit,sfuconstrlimit,mfuconstrlimit,mfudwelllimit,mfudwellunitlimit,minlotsize,minlotsize_lhalfacre,minlotsize_mhalfacre,minlotsize_oneacre,minlotsize_twoacres,affordable,sfusupply,mfusupply,commsupply,indsupply,lotdevcostincrease,sflotdevcostincrease,time_sfu,time_mfu,timechg_sfu,timechg_mfu,time1_l50sfu,time1_m50sfu,time1_mfu,time2_l50sfu,time2_m50sfu,time2_mfu,submitted,alloc_local,alloc_pressure,alloc_countyleg,alloc_sfubudget,alloc_mfubudget,alloc_sfucouncil,alloc_mfucouncil,alloc_sfucitizen,alloc_mfucitizen,alloc_sfuschool,alloc_mfuschool,alloc_LPPI,alloc_time_sfu,alloc_time_mfu,alloc_time1_l50sfu,alloc_time1_m50sfu,alloc_time1_mfu,alloc_time2_l50sfu,alloc_time2_m50sfu,alloc_time2_mfu,alloc_ADI,approved,officialname,execrating,judicialrating,town_meet,zonvote,zonvote_super,totinitiatives,msaname99,msa99,stateid,msastate,stacode,namene,LPPI,SPII,SCII,LZAI,LPAI,LAI,DRI,OSI,EI,SRI,ADI,WRLURI,weight,weight_metro
Alabama,AL,183976,20104,"Decatur City, AL",City,2,1,1,2,3,4,1,1,1,0,0,0,1,0,0,0,1,1,4,5,5,5,2,2,1,1,4,3,1,1,4,4,2,2,1,1,2,2,2,3,0,0,0,0,0,0,1,,,,,0,1,4,3,3,30,50,1,2,0,1,1.5,1.5,4.5,1.5,1.5,4.5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,James Fisher,1,3,0,0,0,0,"Huntsville, AL MSA",3440,AL,2030,AL,,-.80015033,-1.3834146,3,3,3,0,0,0,0,0,2.1666667,-1.2947217,12.193387,8.2903509
Alabama,AL,128599,3076,"Auburn City, AL",City,4,3,1,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,2,2,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,3,3,2,3,30,30,2,3,0,0,4.5,4.5,4.5,9.5,9.5,9.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Robert Juster,1,3,0,0,0,0,"Auburn-Opelika, AL MSA",580,AL,580,AL,,-.44970718,-1.3834146,3,2,1,0,1,1,0,0,5.5,-.20321727,2.8700986,2.9132371
Alabama,AL,128519,14392,"Chickasaw City, Al",City,5,4,2,2,2,2,1,0,1,0,0,0,0,1,0,0,0,0,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,,,,0,3,3,3,3,10,10,-.2468998436050664,.6005214230500193,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Jim Trout,1,3,0,0,0,0,"Mobile, AL MSA",5160,AL,5160,AL,,-.73006171,-1.3834146,3,2,1,0,0,0,0,0,1.058937,-1.7310513,25.605795,12.874975
Alabama,AL,183814,5980,"Bessemer City, AL",City,4,3,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,2,2,2,2,3,3,0,0,0,0,0,0,1,1,0,1,0,0,3,3,3,3,10,10,5.132992707177571,4.586669948475143,0,0,4.5,4.5,4.5,4.5,4.5,4.5,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,10,Adolph D. Gaylor,1,3,0,0,0,0,"Birmingham, AL MSA",1000,AL,1000,AL,,.67171097,-1.3834146,3,3,3,0,1,0,1,0,4.6199436,.050487027,15.435589,9.5620527
Alabama,AL,128464,57120,"Opp City, AL",City,4,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,4,4,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,,,,0,3,3,3,3,100,50,1,1,0,0,1.5,1.5,1.5,1.5,1.5,1.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Don Childre,1,3,0,0,0,0,,9999,AL,2,AL,,-.65997308,-1.3834146,3,2,1,0,0,0,0,0,1.3333334,-1.6824356,30.044825,
Alabama,AL,128457,50192,"Monroeville City, AL",City,4,2,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,4,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,10,10,2,3,0,0,4.5,4.5,4.5,4.5,4.5,4.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Robert A. Crawford,1,3,0,0,0,0,,9999,AL,2,AL,,-1.2907708,-1.3834146,3,2,2,0,0,0,0,0,3.8333333,-1.4144754,15.254651,
Alabama,AL,128169,35392,"Hokes Bluff Town, AL",Town,4,3,2,3,3,3,1,0,1,0,0,0,1,1,0,0,1,0,3,3,5,5,4,4,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,0,0,0,0,0,0,1,,1,0,0,0,2,3,3,2,10,10,2,4.479623395222609,0,0,1.5,4.5,7.2667022,1.5,4.5,9.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,3,Sheila J. Hamilton-Burns,1,3,0,0,0,0,"Gadsden, AL MSA",2880,AL,2880,AL,,.95206553,-1.3834146,3,2,3,0,0,0,1,0,4.2762375,-.4542295,55.393181,27.333456
Alabama,AL,184167,33856,"Headland City, AL",City,4,5,1,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,4,4,4,4,1,1,1,1,1,1,1,1,5,5,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,,1,0,0,0,2,3,3,4,10,10,3,6,0,1,1.5,1.5,1.5,1.5,1.5,1.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Billy Woods,1,3,0,0,0,0,,9999,AL,2,AL,,-.16935264,-1.3834146,3,3,1,0,0,0,1,0,2.5,-1.4105783,24.420628,
Alabama,AL,207773,50000,"Mobile City, AL",City,3,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3,2,2,,,1,1,,,4.5,4.5,4.5,1.5,1.5,1.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Bert Hoffman,1,3,0,0,0,0,"Mobile, AL MSA",5160,AL,5160,AL,,-1.2206821,-1.3834146,3,2,0,0,0,0,0,0,2.3333333,-1.942003,7.0437894,5.4966378
Alabama,AL,183840,15136,"Clanton City, AL",City,3,1,1,3,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,2,2,2,50,50,1,1,0,0,4.5,4.5,4.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Obie J. Littleton,1,3,0,0,0,0,,9999,AL,2,AL,,-1.5711253,-1.3834146,3,3,2,0,0,0,0,0,2.3333333,-1.7011729,21.381239,
Alabama,AL,128213,24568,"Eufaula City, AL",City,4,2,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,3,3,3,4,1,1,1,1,1,1,1,3,1,1,2,2,1,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,10,30,1,1,0,0,4.5,4.5,4.5,1.5,1.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tim Milner,1,3,0,0,0,0,,9999,AL,2,AL,,-1.1505935,-1.3834146,3,1,1,0,0,0,1,0,2.3333333,-1.6132581,14.33961,
Alabama,AL,183978,2956,"Athens, AL",City,5,3,4,3,,,1,0,1,0,0,0,1,0,0,0,1,0,2,2,4,3,2,4,4,3,4,3,1,1,1,2,3,3,2,2,,,2,2,0,0,0,0,0,0,1,1,,,,0,1,3,3,3,,,2,2,1,1,4.5,4.5,4.5,1.5,1.5,1.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Scott Griess,1,3,0,0,0,0,"Huntsville, AL MSA",3440,AL,3440,AL,,.11100192,-1.3834146,3,2,2,0,0,0,1,0,2.6666667,-1.062862,12.154136,8.2869253
Alabama,AL,184066,32416,"Guntersville City, AL",City,2,1,1,2,1,2,0,0,1,0,0,0,1,0,0,0,0,1,4,4,4,4,2,4,2,,1,2,1,4,1,4,1,3,3,3,2,3,4,4,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,3,30,30,1,1,0,0,1.5,4.5,4.5,4.5,4.5,4.5,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,E. W. Crabtree,1,3,0,0,0,0,,9999,AL,2,AL,,-1.0805049,-1.3834146,3,1,2,0,0,0,0,0,3,-1.3869231,15.492978,
Alabama,AL,184143,65040,"Roanoke City, AL",City,2,3,3,2,1,1,1,0,1,0,0,0,1,1,0,0,1,0,4,4,5,5,2,3,2,2,5,4,1,1,2,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,70,70,2,2,0,0,4.5,4.5,1.5,4.5,4.5,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Tim Jacobs,1,3,0,0,0,0,,9999,AL,2,AL,,-.3095299,-1.3834146,3,2,3,0,0,0,1,0,3.3333333,-.92068875,21.930281,
Alabama,AL,183884,7000,"Birmingham City, AL",City,5,5,5,2,2,2,1,0,1,0,0,0,0,0,0,0,1,1,3,5,3,3,3,5,3,3,3,4,3,4,3,5,5,5,4,4,3,3,3,3,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,3,10,10,1,1,0,0,4.5,4.5,4.5,4.5,4.5,4.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,William Gilchrist,1,3,0,0,0,0,"Birmingham, AL MSA",1000,AL,1000,AL,,1.5127747,-1.3834146,3,2,2,0,0,1,1,0,3.3333333,-.19492894,6.9018869,5.5631042
Alabama,AL,127721,43120,"Lincoln City, AL",City,5,3,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,5,5,4,4,2,2,1,1,5,5,1,1,2,2,1,1,3,3,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,1,2,4,2,4,100,70,2,2,0,0,1.5,1.5,1.5,1.5,1.5,1.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,C.L. Watson,1,3,0,0,0,0,,9999,AL,2,AL,,-.3095299,-1.3834146,3,2,2,0,0,0,1,0,1.6666666,-1.2884623,46.829845,
Alabama,AL,128405,24184,"Enterprise City, AL",City,5,2,2,1,1,1,2,0,2,0,0,0,1,0,0,0,1,1,3,3,2,2,4,4,1,1,1,1,1,1,2,2,4,4,1,1,1,1,1,1,0,0,0,0,0,0,1,1,,,,0,3,2,3,4,30,10,2,2,1,1,4.5,4.5,4.5,4.5,4.5,4.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Stephen McCollough,1,3,0,0,0,0,"Dothan, AL MSA",2180,AL,2,AL,,-.44970718,-1.3834146,3,2,3,0,0,0,1,0,3.6666667,-.92772108,12.075733,7.8041186
Alabama,AL,183879,74592,"Talladega City, AL",CIty,3,3,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5,5,4,4,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,,,1,0,4,4,3,3,50,50,3,3,0,0,1.5,4.5,4.5,4.5,9.5,9.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Sue Horn,1,3,0,0,0,0,,9999,AL,2,AL,,-.87023896,-1.3834146,3,2,0,0,1,1,1,0,4.7777777,-.53802347,18.865932,
Alabama,AL,128620,78204,"Valley City, AL",City,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,2,3,1,1,4,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,0,0,0,0,0,0,1,1,0,0,0,0,3,4,3,3,30,30,1,1,0,0,1.5,1.5,1.5,1.5,1.5,1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Allen Hendrix,1,3,0,0,0,0,,9999,AL,2,AL,,-1.7113026,-1.3834146,3,3,1,0,0,0,1,0,1.3333334,-1.98215,41.715157,
Alabama,AL,127695,28552,"Fultondale City, AL",City,5,4,3,3,4,4,2,0,2,0,0,0,2,2,0,0,0,0,5,5,4,4,4,4,1,1,3,3,4,4,4,4,3,3,2,2,2,2,3,3,0,0,0,0,0,0,1,1,0,0,0,1,2,2,2,3,30,30,2,2,0,0,1.5,4.5,1.5,1.5,1.5,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Edward Hawkins,1,3,0,0,0,0,"Birmingham, AL MSA",1000,AL,1000,AL,,.81188822,-1.3834146,3,2,2,0,0,1,1,0,2,-.53684545,40.913502,22.314213
Alabama,AL,184220,26992,"Foley City, AL",City,5,3,1,3,1,3,0,0,2,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,10,30,1,1,1,1,4.5,4.5,4.5,1.5,1.5,1.5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Miriam Boutwell,1,3,0,0,0,0,"Mobile, AL MSA",5160,AL,5160,AL,,-.029175362,-1.3834146,3,1,0,0,1,1,1,0,2.3333333,-.49018699,15.041443,10.329089
Alabama,AL,184020,68736,"Scottsboro City, AL",City,5,3,1,3,3,3,2,0,2,0,0,0,1,0,0,0,0,0,5,5,5,5,5,5,1,1,3,3,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,0,1,3,4,3,3,10,30,3,4,0,0,4.5,9.5,9.5,9.5,9.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Curtis E. Davis,1,3,0,0,0,0,,9999,AL,2,AL,,-.44970718,-1.3834146,3,2,1,0,0,0,1,0,6.9444447,-.98727113,20.107763,
Alabama,AL,184147,21184,"Dothan City, AL",City,3,3,2,2,2,2,2,0,1,0,0,0,2,0,0,0,0,0,4,3,3,3,3,3,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,3,2,2,30,30,3,2,0,0,9.5,18.5,9.5,9.5,18.5,9.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,David Hendrix,1,3,0,0,0,0,"Dothan, AL MSA",2180,AL,2180,AL,,-.87023896,-1.3834146,3,2,1,0,0,0,0,0,9.166667,-.94313872,11.591332,7.9878478
Alabama,AL,184043,71832,"Southside City, AL",City,4,4,2,3,3,2,0,0,1,0,0,0,0,1,0,0,0,0,3,,3,,3,,3,,3,4,3,4,3,4,5,5,2,,2,,3,,0,0,0,0,0,0,0,,,,,,3,,3,3,50,70,2,2.153246881924595,1,0,4.5,4.5,7.6690745,9.5,9.5,9.5,2,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,2,Jimmy Whitteman,1,3,0,0,0,0,"Gadsden, AL MSA",2880,AL,2880,AL,,.74179959,-1.3834146,3,1,1,0,0,1,1,0,5.7109938,-.3242147,48.056606,25.095806
Alabama,AL,127638,63288,"Rainbow City City, AL",City,3,3,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,3,5,3,5,4,5,1,1,5,5,1,3,3,5,3,3,2,2,1,3,1,3,0,0,0,0,0,1,1,1,0,0,0,0,1,4,3,3,30,50,1,7,0,0,1.5,1.5,1.5,1.5,1.5,1.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Wiley McLain,1,3,0,0,0,0,"Gadsden, AL MSA",2880,AL,2880,AL,,.11100192,-1.3834146,3,2,1,0,0,0,1,1,2.3333333,-1.1397963,14.6053,9.8054276
Alabama,AL,183865,57000,"Oneonta City, AL",City,4,2,2,3,2,2,1,1,1,0,0,0,1,1,0,0,1,0,4,5,5,5,2,2,4,4,2,2,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,4,4,4,50,50,2,2,0,0,1.5,1.5,1.5,4.5,4.5,4.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Ed Lowe,1,3,0,0,0,0,"Birmingham, AL MSA",1000,AL,1000,AL,,-.87023896,-1.3834146,3,3,3,0,0,0,1,0,2.6666667,-1.204409,18.762703,11.503832
Alabama,AL,183901,78552,"Vestavia Hills City, AL",City,5,5,4,3,4,3,2,2,2,0,0,0,2,2,0,0,0,1,4,5,4,5,5,5,3,5,1,5,1,5,1,5,5,5,2,5,2,5,2,5,0,0,0,0,0,0,1,0,0,1,0,0,5,,5,3,50,50,1,9,0,0,4.5,4.5,12.051992,4.5,4.5,9.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,40,Albert G. Folcher,1,3,0,0,0,0,"Birmingham, AL MSA",1000,AL,1000,AL,,1.0922428,-1.3834146,3,3,3,0,1,1,1,0,6.0613327,.70982343,5.5680876,4.4812913
Alabama,AL,183895,51696,"City of Mountain Brook, AL",City,5,5,2,3,3,3,1,0,1,0,0,0,1,1,0,0,0,1,5,5,4,4,4,4,3,3,3,3,4,4,5,5,4,4,3,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,0,4,4,4,3,30,50,2,3,1,1,4.5,4.5,4.5,1.5,1.5,1.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Sam Gaston,1,3,0,0,0,0,"Birmingham, AL MSA",1000,AL,1000,AL,,1.0922428,-1.3834146,3,2,3,0,1,1,1,0,2.8333333,.43084297,3.8994336,3.5022187
Alabama,AL,184219,25240,"Fairhope City, AL",City,4,4,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,,4,,1,,1,,1,1,1,1,1,1,1,1,1,,1,,1,,0,0,0,0,0,0,1,,,,,0,,,,,100,70,4,4,1,0,4.5,4.5,4.5,4.5,4.5,4.5,10,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8,Christopt D. Baker,1,3,0,0,0,0,"Mobile, AL MSA",5160,AL,5160,AL,,-1.0104163,-1.3834146,3,2,1,0,0,1,0,0,4.3333335,-1.0898678,10.875951,8.0040312
